account_id,account_name,account_type,registration_country,primary_trader_id,status,risk_rating,onboarding_date,mifid_client_category,compliance_status
ACC-001,Citadel Capital Management,institutional,US,TRD-001,ACTIVE,LOW,2020-03-29,professional,active
ACC-002,Obsidian Investment Partners,institutional,US,TRD-001,ACTIVE,LOW,2023-01-03,professional,active
ACC-003,Patriot Asset Management,institutional,US,TRD-001,ACTIVE,LOW,2022-02-14,professional,active
ACC-004,Evergreen Advisors,institutional,US,TRD-001,ACTIVE,LOW,2021-08-23,professional,active
ACC-005,Sentinel Wealth Management,institutional,US,TRD-002,ACTIVE,LOW,2023-06-20,professional,under_review
ACC-006,Pacific Financial Group,institutional,US,TRD-002,ACTIVE,LOW,2022-01-10,professional,active
ACC-007,Alpine Investment Group,institutional,US,TRD-002,ACTIVE,LOW,2023-12-13,professional,active
ACC-008,Eagle Capital Advisors,institutional,US,TRD-002,ACTIVE,LOW,2023-09-16,professional,active
ACC-009,Ironwood Capital Management,institutional,US,TRD-003,ACTIVE,LOW,2021-08-15,professional,restricted
ACC-010,Meridian Investment Partners,institutional,US,TRD-003,ACTIVE,LOW,2021-04-21,professional,under_review
ACC-011,Ivory Asset Management,institutional,US,TRD-003,ACTIVE,LOW,2022-02-17,professional,active
ACC-012,Horizon Advisors,institutional,US,TRD-003,ACTIVE,LOW,2023-07-25,professional,active
ACC-013,Maple Wealth Management,institutional,US,TRD-004,ACTIVE,LOW,2020-11-29,professional,active
ACC-014,Trident Financial Group,institutional,US,TRD-004,ACTIVE,LOW,2021-03-05,professional,active
ACC-015,Crestview Investment Group,institutional,US,TRD-004,ACTIVE,LOW,2023-12-08,professional,under_review
ACC-016,Dragonfly Capital Advisors,institutional,US,TRD-004,ACTIVE,LOW,2023-08-20,professional,active
ACC-017,Golden Capital Management,institutional,US,TRD-005,ACTIVE,LOW,2023-07-24,professional,active
ACC-018,Kestrel Investment Partners,institutional,US,TRD-005,ACTIVE,LOW,2021-05-16,professional,active
ACC-019,Quantum Asset Management,institutional,US,TRD-005,ACTIVE,LOW,2022-02-16,professional,active
ACC-020,Beacon Advisors,institutional,US,TRD-005,ACTIVE,LOW,2023-08-03,professional,active
ACC-021,Cardinal Wealth Management,institutional,US,TRD-006,ACTIVE,LOW,2021-03-25,professional,active
ACC-022,Monarch Financial Group,institutional,US,TRD-006,ACTIVE,LOW,2020-04-24,professional,active
ACC-023,Harbor Investment Group,institutional,US,TRD-006,ACTIVE,LOW,2020-03-06,professional,active
ACC-024,Falcon Capital Advisors,institutional,US,TRD-006,ACTIVE,LOW,2022-04-01,professional,active
ACC-025,Keystone Capital Management,institutional,US,TRD-007,ACTIVE,LOW,2021-03-08,professional,under_review
ACC-026,Juniper Investment Partners,institutional,US,TRD-007,ACTIVE,LOW,2023-03-07,professional,under_review
ACC-027,Noble Asset Management,institutional,US,TRD-007,ACTIVE,LOW,2021-10-06,professional,active
ACC-028,Apex Advisors,institutional,US,TRD-007,ACTIVE,LOW,2022-10-19,professional,active
ACC-029,Bridgewater Wealth Management,institutional,US,TRD-008,ACTIVE,LOW,2023-08-09,professional,active
ACC-030,Osprey Financial Group,institutional,US,TRD-008,ACTIVE,LOW,2021-06-26,professional,active
ACC-031,Polaris Investment Group,institutional,US,TRD-008,ACTIVE,LOW,2023-02-23,professional,active
ACC-032,Silverstone Capital Advisors,institutional,US,TRD-008,ACTIVE,LOW,2023-04-12,professional,active
ACC-033,Highland Capital Management,institutional,US,TRD-009,ACTIVE,LOW,2023-04-10,professional,active
ACC-034,Oakwood Investment Partners,institutional,US,TRD-009,ACTIVE,LOW,2021-03-25,professional,restricted
ACC-035,Pinnacle Asset Management,institutional,US,TRD-009,ACTIVE,LOW,2020-10-10,professional,active
ACC-036,Cascade Advisors,institutional,US,TRD-009,ACTIVE,LOW,2020-07-05,professional,active
ACC-037,Atlas Wealth Management,institutional,US,TRD-010,ACTIVE,LOW,2020-08-12,professional,active
ACC-038,Frontier Financial Group,institutional,US,TRD-010,ACTIVE,LOW,2020-11-23,professional,active
ACC-039,Sterling Investment Group,institutional,US,TRD-010,ACTIVE,LOW,2022-05-14,professional,active
ACC-040,Northbridge Capital Advisors,institutional,US,TRD-010,ACTIVE,LOW,2022-02-27,professional,active
ACC-041,Redwood Capital Management,institutional,US,TRD-011,ACTIVE,LOW,2022-08-16,professional,active
ACC-042,Cobalt Investment Partners,institutional,US,TRD-011,ACTIVE,LOW,2023-02-07,professional,under_review
ACC-043,Vanguard Asset Management,institutional,US,TRD-011,ACTIVE,LOW,2020-01-24,professional,active
ACC-044,Summit Advisors,institutional,US,TRD-011,ACTIVE,LOW,2020-08-22,professional,active
ACC-045,Granite Brokerage,retail,US,TRD-012,ACTIVE,MEDIUM,2023-01-04,retail,active
ACC-046,Liberty Personal Trading,retail,US,TRD-012,ACTIVE,MEDIUM,2023-08-05,retail,active
ACC-047,Citadel Direct Investing,retail,US,TRD-012,ACTIVE,MEDIUM,2021-08-24,retail,active
ACC-048,Obsidian Self-Directed,retail,US,TRD-012,ACTIVE,MEDIUM,2022-07-18,retail,active
ACC-049,Patriot Account,retail,US,TRD-013,ACTIVE,MEDIUM,2021-06-23,retail,restricted
ACC-050,Evergreen Trading,retail,US,TRD-013,ACTIVE,MEDIUM,2020-12-31,retail,active
ACC-051,Sentinel Portfolio,retail,US,TRD-013,ACTIVE,MEDIUM,2020-08-05,retail,under_review
ACC-052,Pacific Investments,retail,US,TRD-013,ACTIVE,MEDIUM,2021-09-03,retail,active
ACC-053,Alpine Brokerage,retail,US,TRD-014,ACTIVE,MEDIUM,2022-11-05,retail,active
ACC-054,Eagle Personal Trading,retail,US,TRD-014,ACTIVE,MEDIUM,2020-11-09,retail,active
ACC-055,Ironwood Direct Investing,retail,US,TRD-014,ACTIVE,MEDIUM,2020-11-26,retail,active
ACC-056,Meridian Self-Directed,retail,US,TRD-014,ACTIVE,MEDIUM,2022-12-22,retail,under_review
ACC-057,Ivory Account,retail,US,TRD-015,ACTIVE,MEDIUM,2023-05-11,retail,active
ACC-058,Horizon Trading,retail,US,TRD-015,ACTIVE,MEDIUM,2020-02-09,retail,active
ACC-059,Maple Portfolio,retail,US,TRD-015,ACTIVE,MEDIUM,2022-01-13,retail,under_review
ACC-060,Trident Investments,retail,US,TRD-015,ACTIVE,MEDIUM,2021-09-21,retail,active
ACC-061,Crestview Brokerage,retail,US,TRD-016,ACTIVE,MEDIUM,2021-05-08,retail,under_review
ACC-062,Dragonfly Personal Trading,retail,US,TRD-016,ACTIVE,MEDIUM,2020-06-10,retail,active
ACC-063,Golden Direct Investing,retail,US,TRD-016,ACTIVE,MEDIUM,2022-09-22,retail,active
ACC-064,Kestrel Self-Directed,retail,US,TRD-016,ACTIVE,MEDIUM,2022-12-26,retail,active
ACC-065,Quantum Account,retail,US,TRD-017,ACTIVE,MEDIUM,2020-09-19,retail,active
ACC-066,Beacon Trading,retail,US,TRD-017,ACTIVE,MEDIUM,2023-01-30,retail,active
ACC-067,Cardinal Portfolio,retail,US,TRD-017,ACTIVE,MEDIUM,2022-12-16,retail,under_review
ACC-068,Monarch Investments,retail,US,TRD-017,ACTIVE,MEDIUM,2022-05-16,retail,restricted
ACC-069,Harbor Brokerage,retail,US,TRD-018,ACTIVE,MEDIUM,2023-01-09,retail,active
ACC-070,Falcon Personal Trading,retail,US,TRD-018,ACTIVE,MEDIUM,2023-11-13,retail,active
ACC-071,Keystone Direct Investing,retail,US,TRD-018,ACTIVE,MEDIUM,2021-09-30,retail,active
ACC-072,Juniper Self-Directed,retail,US,TRD-018,ACTIVE,MEDIUM,2023-10-07,retail,active
ACC-073,Noble Account,retail,US,TRD-019,ACTIVE,MEDIUM,2022-06-16,retail,under_review
ACC-074,Apex Trading,retail,US,TRD-019,ACTIVE,MEDIUM,2022-07-13,retail,active
ACC-075,Bridgewater Portfolio,retail,US,TRD-019,ACTIVE,MEDIUM,2021-04-05,retail,active
ACC-076,Osprey Investments,retail,US,TRD-019,ACTIVE,MEDIUM,2020-02-13,retail,active
ACC-077,Polaris Brokerage,retail,US,TRD-020,ACTIVE,MEDIUM,2021-04-16,retail,active
ACC-078,Silverstone Alpha Fund,hedge_fund,KY,TRD-020,ACTIVE,HIGH,2020-01-15,professional,active
ACC-079,Highland Macro Partners,hedge_fund,KY,TRD-020,ACTIVE,HIGH,2023-07-16,professional,active
ACC-080,Oakwood Ventures LP,hedge_fund,KY,TRD-020,ACTIVE,HIGH,2020-05-18,professional,under_review
ACC-081,Pinnacle Capital,hedge_fund,KY,TRD-021,ACTIVE,HIGH,2021-11-07,professional,active
ACC-082,Cascade Fund,hedge_fund,KY,TRD-021,ACTIVE,HIGH,2021-05-02,professional,active
ACC-083,Atlas Strategies,hedge_fund,KY,TRD-021,ACTIVE,HIGH,2022-09-21,professional,active
ACC-084,Frontier Partners LP,hedge_fund,KY,TRD-021,ACTIVE,HIGH,2020-09-27,professional,active
ACC-085,Sterling Global Fund,hedge_fund,KY,TRD-022,ACTIVE,HIGH,2023-03-15,professional,active
ACC-086,Northbridge Alpha Fund,hedge_fund,KY,TRD-022,ACTIVE,HIGH,2021-05-12,professional,active
ACC-087,Redwood Macro Partners,hedge_fund,KY,TRD-022,ACTIVE,HIGH,2022-04-13,professional,active
ACC-088,Cobalt Ventures LP,hedge_fund,KY,TRD-022,ACTIVE,HIGH,2020-07-17,professional,active
ACC-089,Vanguard Capital,hedge_fund,KY,TRD-023,ACTIVE,HIGH,2021-12-26,professional,active
ACC-090,Summit Fund,hedge_fund,KY,TRD-023,ACTIVE,HIGH,2022-08-14,professional,under_review
ACC-091,Granite Strategies,hedge_fund,KY,TRD-023,ACTIVE,HIGH,2020-04-20,professional,active
ACC-092,Liberty Partners LP,hedge_fund,KY,TRD-023,ACTIVE,HIGH,2023-08-16,professional,active
ACC-093,Citadel Global Fund,hedge_fund,KY,TRD-024,ACTIVE,HIGH,2022-04-04,professional,active
ACC-094,Obsidian Alpha Fund,hedge_fund,KY,TRD-024,ACTIVE,HIGH,2020-08-11,professional,active
ACC-095,Patriot Macro Partners,hedge_fund,KY,TRD-024,ACTIVE,HIGH,2021-01-24,professional,active
ACC-096,Evergreen Ventures LP,hedge_fund,KY,TRD-024,ACTIVE,HIGH,2020-10-14,professional,active
ACC-097,Sentinel Capital,hedge_fund,KY,TRD-025,ACTIVE,HIGH,2021-07-24,professional,active
ACC-098,Pacific Fund,hedge_fund,KY,TRD-025,ACTIVE,HIGH,2020-06-03,professional,active
ACC-099,Alpine Strategies,hedge_fund,KY,TRD-025,ACTIVE,HIGH,2023-02-01,professional,active
ACC-100,Eagle Liquidity,market_maker,US,TRD-025,ACTIVE,LOW,2023-08-28,eligible_counterparty,restricted
ACC-101,Ironwood Market Services,market_maker,US,TRD-026,ACTIVE,LOW,2020-01-31,eligible_counterparty,restricted
ACC-102,Meridian Electronic Trading,market_maker,US,TRD-026,ACTIVE,LOW,2021-04-29,eligible_counterparty,active
ACC-103,Ivory Execution Services,market_maker,US,TRD-026,ACTIVE,LOW,2022-09-21,eligible_counterparty,active
ACC-104,Horizon Flow Trading,market_maker,US,TRD-026,ACTIVE,LOW,2022-04-01,eligible_counterparty,under_review
ACC-105,Maple Securities,market_maker,US,TRD-027,ACTIVE,LOW,2020-12-03,eligible_counterparty,active
ACC-106,Trident Trading LLC,market_maker,US,TRD-027,ACTIVE,LOW,2022-03-10,eligible_counterparty,active
ACC-107,Crestview Markets,market_maker,US,TRD-027,ACTIVE,LOW,2022-07-20,eligible_counterparty,active
ACC-108,Dragonfly Liquidity,market_maker,US,TRD-027,ACTIVE,LOW,2023-11-27,eligible_counterparty,restricted
ACC-109,Golden Market Services,market_maker,US,TRD-028,ACTIVE,LOW,2023-02-12,eligible_counterparty,active
